,Class,Cluster,Count,Centroid_X,Centroid_Y,Subgroup_MSE
0,0,18,3962.0,8.32,61.76,25.93
1,0,75,513.0,-6.82,-25.48,194.31
2,0,87,282.0,60.43,2.02,178.64
3,1,28,1894.0,-66.41,-51.53,298.73
4,1,75,3183.0,-68.82,-31.44,586.47
5,1,97,311.0,-59.97,-32.31,600.03
6,2,77,667.0,-51.82,59.84,1118.99
7,2,87,685.0,0.93,38.08,2845.99
8,2,134,3421.0,-47.9,66.25,683.27
9,3,134,2142.0,-79.15,10.58,821.68
10,3,213,2539.0,-67.65,17.97,619.55
11,4,87,4250.0,63.17,-30.94,575.69
12,4,240,557.0,33.74,-30.5,391.68
13,5,75,1355.0,35.27,29.43,364.21
14,5,112,651.0,48.04,82.57,79.34
15,5,213,1407.0,16.51,17.29,1365.74
16,5,253,649.0,43.63,45.83,263.94
17,6,75,305.0,58.65,23.82,755.72
18,6,87,4431.0,83.49,27.37,682.34
19,7,28,299.0,-8.87,-42.39,91.66
20,7,77,394.0,-41.29,-75.88,948.91
21,7,187,4048.0,-15.39,-77.35,601.52
22,8,75,1276.0,1.56,8.61,588.18
23,8,134,2247.0,-20.0,18.29,442.28
24,8,240,1296.0,-2.36,8.58,611.69
25,9,240,4644.0,32.89,-61.67,763.88
