,Class,Cluster,X,Y
0,9,240,43.533497,-51.760586
1,3,134,-63.93743,1.7844691
2,1,87,62.317684,-45.20006
3,9,240,51.971725,-71.109886
4,8,75,-0.22160289,24.78336
5,7,240,9.622295,-85.13154
6,7,240,-36.91438,-61.30168
7,9,240,29.726875,-68.24627
8,1,28,-81.13788,-50.285397
9,6,87,78.80275,40.399406
10,2,134,-25.067263,76.4433
11,9,75,1.2261949,-26.244318
12,4,87,90.48985,-45.572754
13,8,134,-36.191956,16.483587
14,9,240,8.415938,-48.13948
15,4,87,44.654915,-17.606596
16,1,28,-80.36613,-54.52056
17,4,87,47.498257,-25.305742
18,0,75,-16.537102,-34.226734
19,8,75,-31.336878,-34.846073
20,1,28,-69.68635,-44.48673
21,7,187,-21.6926,-58.819206
22,7,187,13.545183,-94.33518
23,1,75,-62.357162,-30.443834
24,8,240,9.258382,-0.96650344
25,9,240,63.95421,-90.21673
26,7,187,-48.61107,-81.26232
27,8,240,-3.0412965,26.716217
28,6,87,66.111465,51.454845
29,1,28,-79.50489,-65.62059
30,4,87,58.384003,-41.568123
31,8,134,-27.71111,13.214661
32,4,87,51.646324,-11.133609
33,7,134,-38.974762,-66.800095
34,8,75,7.6575074,36.33291
35,0,75,-12.936103,-29.423203
36,6,87,98.55962,36.266037
37,6,87,86.287315,-2.3509338
38,2,134,-65.43647,70.65473
39,5,75,52.134563,17.97765
40,9,240,48.7128,-67.62279
41,4,87,63.725254,-17.064507
42,4,87,70.09186,-15.100771
43,2,87,-22.435408,57.69352
44,2,134,-30.006783,51.73007
45,0,87,66.75596,1.7433646
46,0,18,7.2093034,60.8683
47,5,112,44.179005,87.64969
48,7,187,6.951544,-103.73503
49,2,87,-14.93359,52.75384
50,9,240,35.457027,-77.99668
51,5,112,56.656677,81.775055
52,8,134,-37.547752,12.041457
53,8,87,75.95296,-2.4783273
54,3,213,-90.46934,38.307987
55,3,213,-52.48232,18.715
56,8,134,-31.22044,18.064653
57,6,75,79.22237,29.481207
58,5,112,51.262978,86.35308
59,9,240,27.257658,-76.26216
60,8,240,-5.024632,-0.5527244
61,0,18,7.86244,60.4648
62,1,75,-101.68735,-38.2746
63,5,112,58.520416,84.0705
64,3,134,-73.40319,5.6033287
65,7,28,-10.47571,-39.445595
66,6,87,70.690186,51.330185
67,3,213,-71.3139,16.939207
68,2,134,-55.652164,59.838676
69,7,187,-39.75392,-73.52116
70,5,112,56.692127,81.72197
71,0,75,7.47413,-22.96167
72,4,87,46.34195,-29.536438
73,7,28,-3.2240202,-42.338696
74,5,75,29.2648,10.090856
75,6,87,74.671875,33.533207
76,2,134,-49.428867,73.9512
77,7,187,-43.779987,-84.24199
78,2,134,-66.86918,56.50022
79,7,187,-4.529096,-88.022835
80,3,213,-80.89551,24.0934
81,4,87,92.19192,-30.410015
82,6,87,100.36753,-3.9231584
83,5,253,45.816418,38.135113
84,3,213,-88.79965,-1.0354887
85,6,87,98.97255,14.362988
86,8,240,-4.0052624,32.212387
87,1,28,-62.20797,-45.378727
88,3,213,-95.129524,32.05614
89,7,187,8.829396,-93.19702
90,7,187,-20.437658,-89.371284
91,7,187,1.5482854,-102.705795
92,9,240,35.8005,-68.58947
93,7,187,0.78433734,-102.488846
94,8,75,-11.302979,-6.6975574
95,0,18,8.57919,60.37121
96,1,134,77.80643,27.344099
97,0,18,8.115241,60.36891
98,7,28,-6.7308717,-39.086838
99,9,240,46.58624,-51.42033
100,7,77,-40.64345,-70.17459
101,3,240,44.535343,-62.519478
102,9,240,31.664558,-91.34582
103,8,87,68.05596,-0.48092514
104,5,75,32.478645,10.595154
105,1,134,-57.09887,67.14976
106,7,187,-3.6286576,-97.468864
107,8,240,-45.6087,0.15790415
108,8,75,-37.29942,10.99115
109,0,18,8.486607,60.34407
110,6,87,107.3725,-2.4665453
111,1,75,-53.539463,-35.07031
112,5,75,32.25912,9.300359
113,9,240,52.259407,-71.21039
114,4,87,72.73944,-54.875034
115,3,134,-85.61391,4.7800837
116,8,134,-19.979704,21.105299
117,3,213,-101.50754,30.429089
118,6,87,81.606895,51.381184
119,3,213,-57.98911,18.351416
120,1,75,-100.259895,-39.024216
121,3,134,-65.23839,54.12074
122,0,18,8.796721,60.39768
123,0,18,8.133541,60.36563
124,0,18,8.857789,60.4255
125,5,213,22.363226,30.864958
126,4,87,53.54761,-21.789085
127,8,75,-10.813929,-5.8837624
128,3,134,7.1799154,6.3362865
129,9,240,17.030561,-51.463318
130,7,187,0.9421112,-60.051735
131,6,87,70.10416,8.978049
132,8,240,-0.17658679,32.175533
133,3,134,-37.51752,-55.473354
134,6,87,60.030003,5.569341
135,4,87,43.49728,-27.503263
136,8,134,-17.328243,33.976807
137,2,134,-53.40837,43.991646
138,2,134,-59.796642,57.6338
139,5,112,38.69767,80.36151
140,3,213,-63.9293,36.769974
141,7,187,-11.739209,-51.851803
142,2,77,-20.629616,76.5638
143,2,134,-29.730862,81.218666
144,3,134,-73.73269,6.011258
145,5,112,44.786674,81.758766
146,7,187,16.349836,-96.071724
147,7,187,-31.004011,-94.185684
148,8,134,-31.293406,32.6525
149,1,28,-57.075146,-52.123318
150,3,213,-50.392246,15.9283
151,6,87,71.49368,51.460197
152,5,213,34.84572,43.235504
153,2,134,-56.64201,60.405807
154,8,240,-6.54721,10.43022
155,8,240,-11.745007,3.6901243
156,6,75,7.5064607,-23.276827
157,7,187,-29.004086,-60.865448
158,3,240,7.2343225,-77.487404
159,9,240,40.28531,-67.61569
160,3,213,-52.66678,-6.1342044
161,8,134,-14.526866,23.311592
162,8,240,-2.5162039,-7.4231486
163,8,240,-16.308678,14.358209
164,7,240,11.999116,-76.05704
165,0,75,-12.4215355,-28.300514
166,9,240,26.107473,-76.50811
167,1,75,-70.88654,-30.54648
168,8,134,13.251602,0.34481484
169,4,87,79.800514,-25.016792
170,6,87,92.36794,36.61423
171,2,134,3.625869,-21.203793
172,8,134,-19.859165,21.153753
173,6,87,97.00407,15.428164
174,0,18,8.487092,60.348553
175,0,18,8.396529,60.362206
176,9,240,33.43578,-46.073895
177,0,75,-7.0236554,-23.454767
178,3,134,-106.051994,12.185471
179,2,134,-45.824856,76.682
180,8,134,-25.471327,0.41528103
181,4,87,82.62138,-51.73369
182,6,87,85.476654,52.270245
183,3,213,-59.819294,6.308153
184,0,18,7.1938243,60.847015
185,5,112,49.140648,78.04211
186,2,134,-28.89919,70.656815
187,2,134,-26.166815,66.8026
188,0,18,7.585879,60.55727
189,9,240,56.813515,-87.15544
190,6,87,66.078354,0.8904221
191,2,134,-55.582733,82.902084
192,5,213,33.48974,37.86867
193,1,75,-76.720085,-33.085598
194,8,75,5.4048095,16.716993
195,6,87,110.27109,3.431326
196,4,87,74.31484,-28.933046
197,1,97,-46.06171,-39.664825
198,1,28,-74.059654,-62.563377
199,5,213,33.79595,19.71572
200,8,240,-12.76747,-1.1144518
201,1,28,-81.812874,-50.85358
202,7,187,-21.454264,-58.710594
203,6,87,57.26514,45.84042
204,5,75,30.62571,12.546693
205,9,240,22.839867,-7.338887
206,2,87,-15.814492,52.20211
207,6,87,70.05494,1.6963922
208,4,87,86.99558,-23.739733
209,3,240,-14.653067,-11.583443
210,1,28,-94.700615,-48.774414
211,3,134,-80.9069,9.512719
212,3,134,-77.466156,43.451176
213,4,87,68.037,-71.7369
214,2,87,-16.587158,60.451687
215,1,28,-58.97664,-38.62311
216,9,240,45.871426,-50.489613
217,3,134,-67.75284,4.6546054
218,2,134,-60.92171,69.4158
219,5,253,46.335556,67.03039
220,9,240,72.28636,-83.004654
221,2,77,-82.43399,54.29706
222,7,187,-32.180183,-91.933945
223,0,18,8.083594,60.374218
224,3,213,-27.054602,-15.379488
225,8,134,-20.442787,20.96626
226,4,87,70.89232,-51.812935
227,8,134,-60.920944,28.747263
228,7,187,-24.342909,-82.71076
229,2,134,-47.836617,88.00174
230,2,134,-63.775856,74.99178
231,3,134,-85.849815,10.811911
232,6,87,85.85999,51.614742
233,2,134,-31.960566,77.52502
234,8,134,-22.703482,11.096007
235,7,187,-2.207197,-99.94272
236,5,112,48.404755,81.070526
237,1,97,-70.38624,-37.910706
238,8,134,-28.452974,1.4096389
239,4,87,44.96359,-19.468367
240,7,187,-17.734762,-82.290825
241,7,187,4.5581183,-92.799034
242,1,28,-53.110237,-39.237858
243,7,187,-31.872166,-78.49826
244,2,134,-48.264275,71.523674
245,6,87,64.816475,33.455975
246,7,187,-45.84256,-84.61663
247,6,87,87.34311,51.638264
248,4,87,62.31788,-20.540323
249,1,75,-82.59743,-27.221743
250,0,18,8.280778,60.353348
251,5,75,38.20931,18.01053
252,6,87,79.347786,30.35359
253,1,28,-61.35527,-62.65185
254,4,240,41.17221,-34.887474
255,5,253,44.733067,66.821075
256,6,87,83.93599,41.444134
257,2,87,-21.856592,59.87636
258,9,240,53.132214,-76.6638
259,3,213,-83.49144,24.567873
260,7,28,-11.297966,-42.49363
261,7,187,-5.792747,-71.18219
262,4,240,4.948105,-64.383804
263,4,240,39.00151,-35.74568
264,9,240,71.297035,-84.165794
265,1,28,-56.00074,-48.295277
266,6,87,74.329926,47.319805
267,3,213,-93.26249,29.81296
268,1,28,-63.73827,-62.056618
269,5,253,39.44023,43.347622
270,4,87,69.42311,-53.992294
271,0,18,8.375176,60.36874
272,0,18,7.1935873,60.834255
273,7,187,-36.338787,-73.21796
274,3,134,-70.06513,23.71037
275,3,134,-23.15153,-4.521832
276,0,18,7.8446913,60.44404
277,8,134,-18.707909,19.638737
278,7,187,-46.965942,-82.836586
279,5,75,40.62326,26.721436
280,7,187,0.16436952,-86.4786
281,9,240,37.52465,-48.688713
282,4,240,42.45017,-35.345177
283,4,87,87.50993,-44.571796
284,0,18,8.870946,60.41038
285,3,213,-21.913033,-15.127618
286,5,253,35.8647,32.800823
287,2,77,-84.574,61.060757
288,5,75,25.381506,37.047028
289,8,240,4.7392154,-8.577964
290,1,75,-82.64339,-54.61717
291,9,240,45.77004,-93.99657
292,4,240,38.54638,-29.770712
293,1,28,-65.86668,-46.012096
294,1,75,-87.4845,-48.51755
295,4,87,50.526764,-12.88542
296,4,240,32.20807,-35.260468
297,9,240,42.77287,-93.949486
298,8,75,0.92299813,15.705388
299,7,187,-42.246304,-80.625015
300,5,253,42.492752,50.85287
301,7,187,-1.5773857,-65.73593
302,3,134,-24.68355,59.326637
303,9,240,42.383873,-54.34767
304,5,75,24.74513,18.519558
305,8,75,7.344233,12.0920105
306,0,75,9.140354,-19.449507
307,9,240,16.159163,-66.03179
308,2,134,-52.156475,83.98509
309,0,75,-14.851406,-32.781597
310,3,134,-95.87797,14.3225155
311,1,28,-84.15858,-60.994514
312,4,87,57.89752,-41.32988
313,8,75,-1.8319242,-18.366306
314,4,87,59.489143,-50.000744
315,7,187,-6.3241434,-47.051823
316,2,134,-59.580154,54.89625
317,9,240,35.812206,-92.80361
318,8,134,8.04003,1.2015333
319,9,240,43.437893,-64.60867
320,7,77,-35.800865,-100.15664
321,9,240,31.055187,-82.96388
322,7,187,-7.756818,-73.1193
323,6,87,69.88056,57.02773
324,3,213,-61.60017,2.1464655
325,8,134,-10.928142,21.159252
326,6,87,65.362015,25.69204
327,1,28,-89.961266,-42.867855
328,2,87,-17.969328,56.516083
329,1,75,-36.22322,-30.684013
330,5,213,32.605404,12.192745
331,8,134,-26.267748,12.705053
332,9,187,5.0017476,-40.09832
333,7,187,13.223578,-94.79007
334,2,134,-47.59924,50.977478
335,7,187,-27.085537,-98.297
336,2,134,-30.669584,79.84038
337,7,187,-14.494138,-50.692616
338,3,213,-88.15232,29.879461
339,2,134,-35.74136,30.32634
340,1,28,-63.3105,-53.511433
341,9,240,35.729324,-93.80913
342,3,213,-88.54264,-0.18817219
343,8,75,-2.9140592,29.407394
344,2,134,-57.448956,76.26247
345,2,134,-66.41403,55.637474
346,8,75,-1.1027719,-0.78377146
347,6,87,75.68269,43.050476
348,9,240,26.702494,-40.598434
349,3,134,-70.3557,4.400926
350,7,187,-26.130207,-97.20389
351,4,87,56.107735,-38.740055
352,1,75,-43.57438,-21.675789
353,4,87,91.04317,-45.20411
354,0,18,8.825394,60.39801
355,6,87,66.068146,32.696625
356,9,187,71.23798,-83.39493
357,3,134,-70.355125,5.048263
358,7,87,0.7573374,-32.068554
359,7,187,4.960747,-97.29832
360,1,75,-87.5545,-55.1975
361,3,134,-104.75723,5.66001
362,1,28,-51.85153,-39.993748
363,0,87,58.286198,1.0467236
364,8,134,-22.40485,19.585205
365,7,187,-25.902615,-62.904274
366,4,87,22.119719,-15.769362
367,8,134,-35.585552,7.2935147
368,2,77,-76.379906,75.83521
369,1,75,-90.636734,-34.03541
370,4,87,84.280785,-22.082842
371,4,87,67.89728,-36.062378
372,4,87,59.408367,-41.297665
373,1,75,-100.072426,-38.76311
374,3,213,-54.58702,11.890554
375,4,87,68.674805,-29.630318
376,1,28,-63.238525,-60.190872
377,7,77,-34.70601,-100.65846
378,9,240,56.61233,-32.616222
379,2,134,-51.962696,95.78225
380,3,134,-79.256485,0.6226678
381,5,253,40.216816,67.871124
382,0,18,7.289767,60.797886
383,0,18,8.774323,60.38888
384,0,18,6.173635,53.9002
385,5,112,48.213898,89.80265
386,9,240,14.629086,-83.77723
387,0,18,7.889272,60.438564
388,5,75,36.54406,8.715711
389,6,87,103.84838,15.921662
390,5,213,32.23374,45.793343
391,5,18,8.038718,60.40107
392,4,87,54.335484,-32.444813
393,3,134,-100.94019,11.3236
394,1,28,-48.074677,-53.582806
395,7,187,-1.6249661,-84.57109
396,2,134,-28.014343,64.97844
397,0,18,7.5196958,60.606876
398,4,87,90.922195,-45.237118
399,0,75,-1.1685237,-24.881115
400,0,18,8.112193,60.36918
401,6,87,97.29063,32.62858
402,7,187,-6.788564,-70.79596
403,4,87,83.16473,-18.912163
404,0,18,7.979205,60.414207
405,8,134,-34.42068,26.638615
406,9,240,24.576626,-75.174805
407,6,87,79.99416,58.685432
408,8,134,-18.667091,3.2399678
409,4,87,66.670265,-48.696342
410,7,187,-8.933695,-48.41936
411,5,112,48.963238,83.61409
412,7,187,-6.131632,-60.702656
413,3,213,-50.63192,16.58981
414,2,134,-49.68103,64.08711
415,8,240,10.861054,-65.93992
416,5,112,49.182278,81.84422
417,3,134,-97.10208,0.794994
418,6,87,82.53296,-16.687704
419,4,87,47.170235,-9.840453
420,4,87,71.57008,-54.81427
421,1,75,-95.316956,-25.962233
422,9,187,71.45602,-83.24414
423,9,240,29.797777,-53.621613
424,4,87,58.327618,-14.849138
425,0,18,7.602583,60.546207
426,6,87,91.86911,44.649906
427,6,87,96.26896,31.251884
428,5,213,-36.136196,-4.4021544
