,Class,Cluster,Count,Centroid_X,Centroid_Y,Subgroup_MSE
0,0,5,3.0,-3.77,-45.59,36.91
1,0,17,1.0,-5.72,-37.94,0.0
2,0,67,4.0,20.77,45.1,2580.33
3,0,78,1.0,-58.36,-40.24,0.0
4,0,87,2.0,-61.26,-60.21,2.44
5,0,88,58.0,-0.73,-16.36,457.61
6,0,97,5.0,34.33,-61.55,229.02
7,0,112,4753.0,87.07,-18.86,3268.02
8,0,117,2.0,-4.1,-40.2,0.05
9,0,134,1.0,4.95,-60.02,0.0
10,0,150,19.0,-6.4,-37.34,2.43
11,0,162,81.0,-17.02,-55.84,641.02
12,0,183,1.0,-6.33,-37.43,0.0
13,0,186,1.0,-112.48,-12.08,0.0
14,0,195,1.0,23.57,-1.5,0.0
15,0,251,3.0,-27.48,-49.1,626.7
16,1,67,12.0,30.24,57.16,283.51
17,1,87,1.0,-4.22,-45.07,0.0
18,1,88,5541.0,-64.14,59.28,747.53
19,1,112,7.0,24.45,12.61,2969.96
20,1,117,3.0,42.02,22.64,352.54
21,1,130,1.0,-25.96,-8.23,0.0
22,1,134,50.0,33.32,-0.29,1456.9
23,1,150,1.0,-6.45,-36.67,0.0
24,1,186,1.0,-62.68,-60.96,0.0
25,1,251,1.0,-44.07,9.67,0.0
26,2,5,2.0,-22.95,-55.89,461.97
27,2,67,1831.0,40.58,56.18,258.71
28,2,77,17.0,29.88,10.32,68.22
29,2,78,2.0,-46.8,-1.12,1610.16
30,2,87,164.0,8.03,15.18,3469.26
31,2,88,204.0,11.71,37.53,1703.77
32,2,91,1.0,43.91,0.47,0.0
33,2,112,174.0,47.5,34.96,2206.33
34,2,117,975.0,39.91,17.65,392.93
35,2,130,1.0,-64.69,-36.5,0.0
36,2,134,102.0,40.84,14.98,838.93
37,2,150,2.0,-5.57,-36.47,0.12
38,2,162,246.0,8.97,0.27,1453.3
39,2,186,11.0,-68.88,-61.24,1697.84
40,2,195,852.0,28.52,18.33,214.02
41,2,213,356.0,47.55,40.8,327.18
42,2,251,25.0,-39.21,-50.52,3629.17
43,3,5,2.0,-15.76,-63.61,176.53
44,3,67,122.0,25.99,62.37,1029.32
45,3,77,3.0,75.0,-6.25,0.02
46,3,78,1.0,26.52,-7.72,0.0
47,3,87,2.0,29.98,34.21,13.95
48,3,88,2193.0,56.03,4.03,1024.17
49,3,91,317.0,68.33,13.8,155.42
50,3,97,1.0,11.28,-57.4,0.0
51,3,112,1709.0,71.88,-10.45,660.95
52,3,117,121.0,62.84,10.53,475.13
53,3,130,16.0,13.85,0.93,2867.5
54,3,134,461.0,59.15,-2.74,566.35
55,3,162,8.0,13.7,-22.02,1706.83
56,3,195,9.0,24.66,9.85,77.14
57,3,213,77.0,70.37,18.64,590.03
58,3,240,5.0,16.3,-40.21,531.91
59,3,251,62.0,55.02,25.34,900.29
60,4,5,116.0,-84.87,-30.24,609.72
61,4,67,1.0,18.78,72.08,0.0
62,4,78,41.0,-96.42,-7.78,424.43
63,4,87,1241.0,-83.16,-54.75,331.38
64,4,88,1076.0,-85.6,-5.24,363.62
65,4,97,4.0,-15.63,-48.92,1085.67
66,4,112,11.0,35.28,-22.24,1144.45
67,4,117,2.0,25.4,-4.15,3.54
68,4,130,650.0,-81.27,-26.83,180.22
69,4,134,6.0,-6.59,-27.41,2550.16
70,4,162,207.0,-61.89,-51.73,1652.02
71,4,186,157.0,-101.57,-20.07,431.55
72,4,195,6.0,22.14,1.24,23.13
73,4,213,1.0,44.05,2.08,0.0
74,4,219,4.0,-108.49,-22.24,0.3
75,4,251,1345.0,-80.79,-44.79,623.69
76,5,5,4.0,-9.86,-44.06,704.61
77,5,67,12.0,40.43,15.28,3180.63
78,5,78,7.0,-20.11,-34.85,576.88
79,5,88,824.0,9.81,-22.69,386.44
80,5,97,633.0,33.6,-72.4,301.12
81,5,112,746.0,34.59,-28.03,831.36
82,5,117,1.0,-4.24,-40.92,0.0
83,5,130,3.0,-13.17,-16.25,598.06
84,5,134,2149.0,36.36,-60.67,345.8
85,5,150,2.0,-6.01,-39.22,0.25
86,5,162,13.0,-10.65,-60.32,664.26
87,5,186,2.0,-38.2,-48.74,2723.22
88,5,195,2.0,9.74,-39.63,2402.54
89,5,240,109.0,27.76,-57.44,595.74
90,5,251,11.0,-22.73,-25.94,659.46
91,6,5,25.0,-33.55,-70.96,384.92
92,6,78,3.0,-40.88,-30.24,2970.44
93,6,87,12.0,-25.67,-77.85,551.78
94,6,88,118.0,-21.8,-48.67,1672.07
95,6,97,803.0,11.87,-87.03,246.77
96,6,112,25.0,37.86,-64.72,1897.78
97,6,134,1330.0,-4.69,-81.03,395.09
98,6,150,2.0,-5.97,-39.54,0.75
99,6,162,2606.0,-20.63,-91.48,580.43
100,6,186,6.0,-29.68,-66.28,2058.61
101,6,195,1.0,-5.54,-86.03,0.0
102,6,251,1.0,-80.16,-15.54,0.0
103,7,8,3.0,-17.06,-33.24,3.58
104,7,17,6.0,24.34,101.43,103.79
105,7,67,1759.0,8.86,92.77,327.49
106,7,78,221.0,-42.28,46.12,2600.82
107,7,87,16.0,0.32,45.6,4097.5
108,7,88,747.0,-24.53,66.84,1670.76
109,7,112,1180.0,3.65,75.94,2670.39
110,7,117,2.0,47.69,31.96,1247.45
111,7,130,15.0,-37.91,5.59,131.72
112,7,134,1.0,-0.5,70.85,0.0
113,7,162,3.0,-6.21,-49.88,14.39
114,7,186,1.0,-86.24,-57.05,0.0
115,7,219,3.0,-68.66,-1.52,1054.99
116,7,240,1.0,21.75,-54.15,0.0
117,7,251,1263.0,4.64,66.2,2364.72
118,8,5,5.0,-0.86,-40.72,480.84
119,8,67,34.0,8.24,38.29,1136.46
120,8,87,1.0,9.83,47.35,0.0
121,8,88,4616.0,-10.01,28.4,705.85
122,8,97,24.0,21.54,-71.01,193.27
123,8,112,44.0,31.43,-28.08,857.17
124,8,117,6.0,23.24,-11.29,416.56
125,8,130,8.0,-25.95,-30.4,419.37
126,8,134,108.0,20.48,-50.64,1026.32
127,8,150,4.0,-6.09,-38.37,0.57
128,8,162,8.0,-13.01,-61.77,935.46
129,8,213,2.0,39.49,36.2,522.81
130,8,240,3.0,4.97,-48.99,671.33
131,8,251,13.0,-9.04,-15.73,2196.03
132,9,8,12.0,-14.33,-35.4,106.93
133,9,67,3.0,15.03,43.48,3411.2
134,9,78,5.0,-63.35,8.14,104.94
135,9,87,7.0,-29.55,-36.81,2268.86
136,9,88,899.0,-56.8,3.47,684.57
