,Class,Cluster,Count,Centroid_X,Centroid_Y,Subgroup_MSE
0,0,17,4003.0,-1.59,-96.74,1375.62
1,0,243,515.0,-23.69,-41.14,0.53
2,1,78,2705.0,66.37,64.16,725.91
3,1,134,1803.0,57.54,53.14,402.64
4,1,240,974.0,29.23,60.2,743.0
5,2,77,3299.0,89.84,-9.8,748.63
6,2,134,1051.0,83.2,15.0,686.96
7,2,240,297.0,9.14,30.82,2267.72
8,3,77,2833.0,66.59,-47.07,698.47
9,3,213,1783.0,42.89,-39.07,679.13
10,4,5,829.0,-83.47,55.05,518.74
11,4,219,320.0,-65.14,66.04,163.74
12,4,240,3600.0,-73.61,42.8,646.5
13,5,17,2077.0,11.43,-54.68,352.99
14,5,213,1111.0,3.66,-26.53,516.51
15,5,240,1041.0,1.79,-23.84,1338.19
16,6,240,4435.0,-11.42,83.67,1009.14
17,7,5,840.0,-72.91,-43.4,1040.88
18,7,77,490.0,-25.39,-55.21,1944.44
19,7,78,3747.0,-68.13,-52.42,662.03
20,8,134,821.0,35.1,21.6,435.29
21,8,240,3760.0,7.35,25.74,543.93
22,9,78,1128.0,-55.39,-10.85,579.92
23,9,187,500.0,-39.53,2.99,253.35
24,9,240,3170.0,-67.61,4.45,521.51
