,Class,Cluster,X,Y
0,9,240,-62.126766,13.41045
1,3,240,49.153076,-25.418821
2,1,240,-41.466484,28.01027
3,9,240,-45.50541,15.774176
4,8,240,-1.1735233,32.081924
5,7,5,-90.5912,-35.283302
6,7,78,-38.62042,-37.9451
7,9,78,-64.5502,-18.207327
8,1,240,32.300488,78.32918
9,6,240,7.327648,77.673225
10,2,77,105.894196,-13.348707
11,9,213,-11.875768,-13.689837
12,4,240,-85.88676,56.234592
13,8,134,41.470757,35.88583
14,9,78,-59.51433,-22.556368
15,4,240,-99.287415,39.39345
16,1,240,37.86089,68.14501
17,4,240,-75.31818,45.732006
18,0,17,-13.409615,-85.44214
19,8,240,26.05562,2.388597
20,1,78,73.322945,70.73903
21,7,78,-71.59724,-54.259586
22,7,78,-67.39454,-69.20484
23,1,240,77.495415,55.844833
24,8,240,-6.055697,25.764448
25,9,78,-50.48458,-2.2976954
26,7,77,-46.26331,-70.9509
27,8,240,0.3316492,37.03784
28,6,240,-9.299288,66.1689
29,1,78,78.03714,78.793434
30,4,5,-59.741024,47.417397
31,8,134,35.360332,12.164239
32,4,240,-90.52279,44.578793
33,7,78,-52.296383,-40.130436
34,8,240,-7.8148446,42.182823
35,0,243,-23.478987,-39.510605
36,6,240,10.09084,85.22946
37,6,240,-5.007961,75.36393
38,2,77,64.85819,7.9627953
39,5,240,16.552156,-23.456583
40,9,240,-53.69585,0.5578576
41,4,240,-93.21075,47.646873
42,4,5,-89.02888,69.04094
43,2,77,56.490498,13.15752
44,2,77,63.310734,-2.5328364
45,0,213,-16.615503,-15.824909
46,0,17,4.3964815,-82.58127
47,5,213,-2.4816883,-7.9752283
48,7,5,-80.80267,-33.865585
49,2,134,82.78603,16.913055
50,9,240,-70.413025,-2.01267
51,5,17,0.027493218,-29.159967
52,8,134,41.919033,38.02087
53,8,240,1.536359,49.70919
54,3,77,84.06695,-61.109966
55,3,213,41.66348,-19.832064
56,8,134,34.527626,26.742416
57,6,240,7.2415667,81.33845
58,5,213,10.922187,-15.736024
59,9,78,-61.474957,-15.303531
60,8,240,-18.763084,11.220415
61,0,17,41.591038,-93.02938
62,1,134,43.29356,56.893585
63,5,240,-12.031439,-7.708115
64,3,213,39.896442,-20.784504
65,7,78,-99.4708,-63.155952
66,6,240,-13.137198,86.99556
67,3,213,44.266117,-40.016434
68,2,77,88.267586,-3.4274085
69,7,78,-38.055233,-38.780796
70,5,213,-2.0985703,-20.173283
71,0,213,-22.401892,-27.25537
72,4,240,-83.88006,33.586975
73,7,78,-74.68028,-47.608826
74,5,240,24.321997,-31.371887
75,6,240,1.6032494,71.119385
76,2,77,62.340973,12.240774
77,7,5,-43.275425,-65.59762
78,2,77,83.85234,-13.470636
79,7,78,-62.253784,-42.021927
80,3,77,59.417694,-57.873062
81,4,240,-62.447933,74.22711
82,6,240,11.576168,119.44345
83,5,17,11.199193,-51.398632
84,3,213,41.397957,-33.82705
85,6,240,-18.397392,111.281296
86,8,240,-10.662622,32.980762
87,1,134,63.4941,57.828487
88,3,77,76.739265,-76.067726
89,7,5,-91.59978,-32.627274
90,7,5,-57.034695,-75.59521
91,7,78,-94.129745,-48.28425
92,9,78,-62.163265,-13.659958
93,7,78,-69.71638,-68.65141
94,8,240,29.460224,3.4350033
95,0,17,-22.252775,-116.35526
96,1,240,17.56747,58.730453
97,0,17,26.893665,-109.1984
98,7,78,-92.311905,-70.804306
99,9,78,-54.03629,-8.429997
100,7,78,-44.486393,-54.9198
101,3,240,-51.801964,21.05749
102,9,78,-32.288494,-13.118915
103,8,240,7.3356247,5.8705564
104,5,213,-10.531752,-56.362324
105,1,134,78.918144,14.344141
106,7,5,-70.12345,-29.845896
107,8,240,-3.7285655,19.150658
108,8,240,30.445837,50.89951
109,0,17,59.90179,-94.51834
110,6,240,21.939047,110.96949
111,1,134,64.964134,51.439144
112,5,213,25.589561,-33.665432
113,9,240,-48.062134,15.539778
114,4,219,-56.868168,62.418465
115,3,213,49.552006,-31.64249
116,8,240,34.827713,36.102055
117,3,77,86.488014,-74.6995
118,6,240,-23.827143,106.21517
119,3,213,33.81983,-23.016815
120,1,134,34.774536,84.10047
121,3,77,78.2276,-10.011143
122,0,17,-5.698526,-75.44738
123,0,17,-11.274363,-95.46942
124,0,17,53.30048,-101.147514
125,5,240,-0.8535789,-44.720387
126,4,240,-94.75567,48.561924
127,8,240,27.349644,3.4025235
128,3,240,19.438063,58.0188
129,9,240,-67.44714,0.988263
130,7,78,-101.02261,-42.300842
131,6,240,-19.606968,-0.9943768
132,8,240,-15.488091,30.982176
133,3,240,62.226933,-25.091105
134,6,17,-28.913061,-106.24533
135,4,5,-100.25861,22.068163
136,8,134,19.686651,45.414436
137,2,77,79.45181,-23.607279
138,2,77,82.40823,-7.2805953
139,5,213,4.1058226,-6.747301
140,3,240,-4.0283017,-2.3510215
141,7,78,-84.83449,-64.70759
142,2,77,96.19996,-13.991742
143,2,77,114.19209,-20.770172
144,3,77,47.95911,-44.679882
145,5,213,16.82197,-11.893426
146,7,78,-99.31825,-64.103836
147,7,77,-35.983444,-56.090797
148,8,134,41.525303,35.50957
149,1,78,92.180214,60.265396
150,3,213,44.033966,-48.29571
151,6,240,-42.113564,102.559
152,5,17,27.234215,-53.77979
153,2,77,87.93238,-4.1780014
154,8,240,-4.2891884,20.601885
155,8,240,-9.1472,22.719086
156,6,240,-19.342894,-4.15153
157,7,187,-39.216885,-34.203564
158,3,240,-8.723484,-7.9600534
159,9,78,-52.58919,-9.865786
160,3,213,12.215467,-15.810971
161,8,240,15.521352,19.755878
162,8,240,-6.5295043,9.525619
163,8,240,24.424656,57.07152
164,7,5,-97.74578,20.887531
165,0,17,-4.990791,-89.93215
166,9,78,-52.224068,-11.329007
167,1,134,42.471214,62.854362
168,8,240,20.718842,39.47406
169,4,187,-46.151424,41.07838
170,6,219,-36.6447,86.59211
171,2,17,22.46661,-36.641464
172,8,240,27.346203,28.859297
173,6,240,-45.42131,92.127266
174,0,17,-2.8000846,-77.40492
175,0,17,-5.416008,-110.45966
176,9,240,-72.3926,10.358922
177,0,243,-23.28655,-39.54792
178,3,77,81.56277,-50.04781
179,2,134,88.17007,18.426636
180,8,134,31.497736,3.5285132
181,4,240,-62.978443,39.565475
182,6,240,3.6690316,94.960785
183,3,213,54.22784,-68.0315
184,0,17,23.329943,-95.736916
185,5,17,-4.628119,-51.705296
186,2,77,59.613346,19.717892
187,2,77,86.35362,-22.603643
188,0,17,34.26803,-80.40445
189,9,187,-43.295258,6.451572
190,6,240,-29.957293,51.664146
191,2,77,107.152374,-4.7246604
192,5,17,23.32869,-53.909054
193,1,78,52.689625,67.186134
194,8,240,1.7726408,37.2684
195,6,240,-26.702332,95.700935
196,4,5,-78.502625,64.93905
197,1,78,84.1344,48.208195
198,1,134,65.07412,53.481693
199,5,213,-5.1125455,-35.283096
200,8,240,12.549711,-27.0557
201,1,240,34.66282,77.60587
202,7,78,-98.29172,-53.292835
203,6,17,-19.716223,65.86265
204,5,213,-5.768315,-32.504253
205,9,240,-64.73466,22.337255
206,2,134,73.59743,-0.0751384
207,6,240,-27.846067,51.934982
208,4,5,-83.61126,72.09133
209,3,134,39.378292,-3.1815038
210,1,78,63.23334,85.689545
211,3,77,65.96346,-72.218216
212,3,77,60.03141,-44.465508
213,4,187,-61.773098,63.57641
214,2,77,60.535255,18.672718
215,1,78,70.46589,58.922874
216,9,240,-58.181465,-3.686163
217,3,77,48.71003,-42.352074
218,2,77,91.13107,-19.204481
219,5,17,1.1906744,-58.43285
220,9,240,-40.59753,18.467316
221,2,77,71.98528,-20.857464
222,7,5,-34.573624,-65.222496
223,0,17,-42.700542,-96.58996
224,3,17,32.25995,-41.454334
225,8,240,26.247133,38.709164
226,4,5,-66.76694,61.95581
227,8,213,43.108723,-40.33503
228,7,78,-65.05806,-55.29928
229,2,77,116.03182,-4.099755
230,2,77,88.45351,-16.238089
231,3,77,64.886,-42.671967
232,6,240,6.153833,85.4123
233,2,77,98.858826,3.4354303
234,8,240,18.990757,4.1494784
235,7,78,-68.46288,-47.747746
236,5,213,7.348471,-18.719202
237,1,77,55.5193,91.60681
238,8,134,23.05086,0.6154945
239,4,240,-53.635067,36.42488
240,7,78,-58.42268,-46.415558
241,7,78,-90.56184,-38.34475
242,1,134,92.08575,62.372543
243,7,78,-40.78211,-47.78511
244,2,77,61.26916,7.6057057
245,6,240,-11.804216,74.225006
246,7,77,-43.290493,-70.27204
247,6,134,13.003269,109.79105
248,4,240,-51.690125,32.542255
249,1,134,44.793346,52.83578
250,0,17,42.07779,-85.08862
251,5,240,8.42619,-36.907494
252,6,134,-13.404217,100.169525
253,1,78,78.15398,71.29701
254,4,240,-86.54707,25.391209
255,5,17,18.550018,-74.137955
256,6,134,6.107122,62.85072
257,2,240,67.594666,19.635431
258,9,240,-53.63597,5.6217585
259,3,213,47.438606,-68.94705
260,7,5,-97.20314,-44.693844
261,7,78,-91.7058,-49.08493
262,4,240,-13.83228,-9.668499
263,4,240,-38.097282,31.010954
264,9,78,-38.485504,5.8773217
265,1,78,82.81122,46.748875
266,6,240,-5.473266,96.41417
267,3,213,70.4411,-54.120655
268,1,78,43.91224,85.91333
269,5,17,10.01574,-71.64902
270,4,219,-56.277863,58.42318
271,0,17,15.55462,-121.14239
272,0,17,-0.34990588,-120.38939
273,7,78,-43.784256,-52.106003
274,3,77,61.000347,-46.77577
275,3,134,37.347847,8.54805
276,0,17,-64.1644,-97.760506
277,8,240,19.63679,35.446785
278,7,78,-60.228184,-67.98922
279,5,240,11.204876,-41.607628
280,7,78,-73.03108,-29.277906
281,9,240,-91.61517,5.119429
282,4,240,-82.84652,28.061588
283,4,240,-48.91372,59.219105
284,0,17,-3.0166287,-107.96024
285,3,17,-17.666847,-102.21167
286,5,17,-2.1775777,-51.015305
287,2,77,99.89281,-34.574734
288,5,17,30.9777,-45.672142
289,8,240,-24.090847,21.684849
290,1,78,38.388546,78.72655
291,9,78,-34.207333,-10.992068
292,4,240,-97.15522,24.812315
293,1,78,69.6201,77.4929
294,1,134,63.416447,64.14097
295,4,240,-88.60445,48.886444
296,4,240,-71.52013,-0.42373472
297,9,78,-44.61098,-3.9579206
298,8,240,-6.378087,29.760351
299,7,78,-51.70678,-65.8785
300,5,17,9.495792,-71.05732
301,7,78,-94.93681,-53.896603
302,3,77,75.05837,-33.297466
303,9,240,-63.01141,11.293949
304,5,17,22.16726,-42.366234
305,8,240,-5.3210692,-0.09270808
306,0,213,-21.236063,-24.897245
307,9,240,-74.06307,-10.295433
308,2,77,98.889786,6.2218294
309,0,17,-39.1441,-114.9299
310,3,77,71.34088,-59.2198
311,1,78,61.301926,77.150345
312,4,240,-85.39165,29.151957
313,8,240,-11.65599,15.683317
314,4,240,-53.213154,52.255413
315,7,78,-92.23955,-62.21909
316,2,77,90.756805,-0.87532747
317,9,78,-29.252766,-6.9149704
318,8,240,13.741831,35.918015
319,9,240,-45.360195,16.037756
320,7,77,-35.39898,-61.18084
321,9,78,-55.208954,-20.51439
322,7,78,-94.28726,-48.89741
323,6,17,-19.541288,72.56455
324,3,213,41.925793,-56.669724
325,8,240,24.78213,36.184235
326,6,240,-23.78692,45.132656
327,1,78,63.971996,82.46825
328,2,77,94.69888,-20.7394
329,1,134,78.49585,54.64464
330,5,240,20.030354,-35.62744
331,8,240,10.238905,13.7812605
332,9,78,-53.189274,-18.146568
333,7,5,-94.83928,-37.359737
334,2,77,51.001522,2.064737
335,7,78,-72.39564,-33.662926
336,2,77,100.307495,-14.765569
337,7,78,-92.20771,-40.61413
338,3,77,73.29241,-75.85105
339,2,134,34.32763,29.134073
340,1,78,73.45845,43.416557
341,9,78,-36.397633,-15.605364
342,3,213,45.159786,-69.471825
343,8,240,-9.754329,27.001467
344,2,77,101.59321,-0.4357451
345,2,77,73.415924,-11.699113
346,8,240,-3.0059886,2.6765337
347,6,134,-9.90079,103.42678
348,9,240,-71.38777,15.343069
349,3,77,53.443707,-16.297153
350,7,78,-74.75909,-63.77132
351,4,5,-88.2837,30.984282
352,1,240,36.661335,74.254105
353,4,240,-62.705326,74.80756
354,0,17,42.95563,-106.787445
355,6,240,-5.511865,75.627
356,9,78,-32.14386,8.336118
357,3,213,44.093143,-36.834446
358,7,5,-79.873375,-33.407715
359,7,78,-79.18508,-51.857384
360,1,78,62.056675,83.3315
361,3,77,66.503006,-35.233955
362,1,77,92.11032,58.633503
363,0,78,-21.1749,-9.779431
364,8,134,29.436836,35.726646
365,7,78,-46.30466,-52.788334
366,4,240,-47.466057,30.94409
367,8,240,24.583384,48.46457
368,2,77,89.76556,-26.938923
369,1,78,48.625584,78.55666
370,4,5,-80.36792,67.714325
371,4,5,-69.33269,63.112095
372,4,240,-86.589645,30.414299
373,1,78,43.04384,70.266884
374,3,213,45.36835,-52.76326
375,4,240,-91.952866,56.914013
376,1,78,77.479095,63.55784
377,7,77,-36.31699,-73.3918
378,9,240,-47.22051,23.597624
379,2,77,117.82643,-18.817036
380,3,213,52.74753,-37.872437
381,5,17,5.456529,-56.993225
382,0,17,-22.24756,-81.97246
383,0,17,24.102869,-88.44569
384,0,243,-22.835642,-39.750374
385,5,213,-0.5135286,-20.044556
386,9,78,-65.232185,-20.443453
387,0,17,-63.49119,-95.63318
388,5,240,22.058834,-34.46377
389,6,240,27.470875,103.11537
390,5,17,-4.0984125,-62.55231
391,5,213,-14.730122,-19.895185
392,4,240,-51.4353,35.742554
393,3,77,80.09392,-68.25871
394,1,77,97.91367,42.295826
395,7,5,-76.75571,-26.91605
396,2,77,54.96965,12.404658
397,0,17,-19.845821,-84.92099
398,4,240,-45.46786,52.212944
399,0,213,-19.084337,-20.481558
400,0,17,-15.87761,-117.565094
401,6,240,3.3624513,90.82429
402,7,78,-76.60918,-71.75801
403,4,240,-72.91006,52.448933
404,0,17,26.82498,-108.73938
405,8,134,43.67933,28.362131
406,9,78,-64.764984,-19.63216
407,6,240,7.1449223,99.25594
408,8,240,8.568618,14.237413
409,4,240,-50.737385,35.706825
410,7,78,-99.27705,-62.942455
411,5,213,4.834053,-7.195821
412,7,5,-100.22067,-39.95076
413,3,77,46.881447,-17.173143
414,2,134,80.51757,7.6138444
415,8,78,-62.339203,-27.913418
416,5,17,-0.72301275,-37.06688
417,3,134,74.16366,-34.79756
418,6,240,-12.546172,86.98799
